Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
0.0,6911,12.501808710750977,Ethereum,2015-07-30T00:00:00Z,0.0
0.0,6863,12.589246685123124,Ethereum,2015-07-31T00:00:00Z,0.0
0.0,5293,16.323446060835064,Ethereum,2015-08-01T00:00:00Z,0.0
0.0,5358,16.12541993281075,Ethereum,2015-08-02T00:00:00Z,0.0
0.0,5280,16.363636363636363,Ethereum,2015-08-03T00:00:00Z,0.0
0.0,5368,16.09538002980626,Ethereum,2015-08-04T00:00:00Z,0.0
0.0,5235,16.50429799426934,Ethereum,2015-08-05T00:00:00Z,0.0
0.0,5116,16.888193901485536,Ethereum,2015-08-06T00:00:00Z,0.0
784.0,5189,16.650607053382153,Ethereum,2015-08-07T00:00:00Z,2050.0
605.0,5256,16.438356164383563,Ethereum,2015-08-08T00:00:00Z,2881.0
462.0,5123,16.86511809486629,Ethereum,2015-08-09T00:00:00Z,1329.0
821.0,5255,16.441484300666033,Ethereum,2015-08-10T00:00:00Z,2037.0
2132.0,5280,16.363636363636363,Ethereum,2015-08-11T00:00:00Z,4963.0
581.0,5124,16.861826697892273,Ethereum,2015-08-12T00:00:00Z,2036.0
872.0,5286,16.34506242905789,Ethereum,2015-08-13T00:00:00Z,2842.0
1115.0,5809,14.873472198312962,Ethereum,2015-08-14T00:00:00Z,3174.0
857.0,5382,16.05351170568562,Ethereum,2015-08-15T00:00:00Z,2284.0
765.0,5132,16.835541699142635,Ethereum,2015-08-16T00:00:00Z,2440.0
816.0,5347,16.158593603890033,Ethereum,2015-08-17T00:00:00Z,2512.0
834.0,4948,17.461600646725948,Ethereum,2015-08-18T00:00:00Z,2494.0
823.0,5192,16.640986132511557,Ethereum,2015-08-19T00:00:00Z,3246.0
658.0,4024,21.47117296222664,Ethereum,2015-08-20T00:00:00Z,2303.0
913.0,5088,16.9811320754717,Ethereum,2015-08-21T00:00:00Z,3919.0
840.0,5271,16.3915765509391,Ethereum,2015-08-22T00:00:00Z,3579.0
885.0,5013,17.235188509874327,Ethereum,2015-08-23T00:00:00Z,4190.0
873.0,5184,16.666666666666668,Ethereum,2015-08-24T00:00:00Z,4432.0
951.0,5097,16.951147733961154,Ethereum,2015-08-25T00:00:00Z,4487.0
883.0,5003,17.269638217069758,Ethereum,2015-08-26T00:00:00Z,4156.0
929.0,4708,18.351741716227696,Ethereum,2015-08-27T00:00:00Z,5590.0
919.0,4653,18.56866537717601,Ethereum,2015-08-28T00:00:00Z,4758.0
839.0,4329,19.95841995841996,Ethereum,2015-08-29T00:00:00Z,4139.0
931.0,4155,20.7942238267148,Ethereum,2015-08-30T00:00:00Z,4572.0
947.0,4122,20.96069868995633,Ethereum,2015-08-31T00:00:00Z,5196.0
916.0,3938,21.940071102082275,Ethereum,2015-09-01T00:00:00Z,5153.0
875.0,3577,24.15431926195136,Ethereum,2015-09-02T00:00:00Z,5195.0
778.0,3383,25.539462015962165,Ethereum,2015-09-03T00:00:00Z,4777.0
761.0,4443,19.446320054017555,Ethereum,2015-09-04T00:00:00Z,5642.0
830.0,4921,17.55740703109124,Ethereum,2015-09-05T00:00:00Z,5519.0
965.0,4978,17.356368019284854,Ethereum,2015-09-06T00:00:00Z,5521.0
969.0,4834,17.873396772858914,Ethereum,2015-09-07T00:00:00Z,5702.0
1003.0,4923,17.550274223034734,Ethereum,2015-09-08T00:00:00Z,5622.0
980.0,5035,17.159880834160873,Ethereum,2015-09-09T00:00:00Z,5604.0
989.0,5003,17.269638217069758,Ethereum,2015-09-10T00:00:00Z,5341.0
1088.0,5141,16.806068858198795,Ethereum,2015-09-11T00:00:00Z,6460.0
942.0,5026,17.19060883406287,Ethereum,2015-09-12T00:00:00Z,5596.0
954.0,4971,17.380808690404344,Ethereum,2015-09-13T00:00:00Z,6057.0
1013.0,4851,17.810760667903526,Ethereum,2015-09-14T00:00:00Z,5572.0
906.0,4842,17.843866171003718,Ethereum,2015-09-15T00:00:00Z,5409.0
920.0,4956,17.433414043583536,Ethereum,2015-09-16T00:00:00Z,5872.0
982.0,4808,17.970049916805323,Ethereum,2015-09-17T00:00:00Z,5368.0
891.0,4889,17.672325628962977,Ethereum,2015-09-18T00:00:00Z,5802.0
840.0,5078,17.014572666404096,Ethereum,2015-09-19T00:00:00Z,5205.0
904.0,5305,16.286522148916116,Ethereum,2015-09-20T00:00:00Z,6402.0
988.0,5075,17.02463054187192,Ethereum,2015-09-21T00:00:00Z,6305.0
1001.0,5051,17.10552365868145,Ethereum,2015-09-22T00:00:00Z,6804.0
969.0,5165,16.727976766698934,Ethereum,2015-09-23T00:00:00Z,7404.0
1004.0,5021,17.207727544313883,Ethereum,2015-09-24T00:00:00Z,6224.0
974.0,5126,16.85524775653531,Ethereum,2015-09-25T00:00:00Z,5851.0
890.0,4930,17.525354969574035,Ethereum,2015-09-26T00:00:00Z,5907.0
907.0,4773,18.101822752985544,Ethereum,2015-09-27T00:00:00Z,5760.0
1003.0,4738,18.23554242296328,Ethereum,2015-09-28T00:00:00Z,6123.0
962.0,4640,18.620689655172413,Ethereum,2015-09-29T00:00:00Z,5738.0
924.0,4757,18.16270758881648,Ethereum,2015-09-30T00:00:00Z,5870.0
947.0,5210,16.58349328214971,Ethereum,2015-10-01T00:00:00Z,6421.0
857.0,5143,16.799533346295938,Ethereum,2015-10-02T00:00:00Z,6063.0
890.0,5077,17.017923970848926,Ethereum,2015-10-03T00:00:00Z,6112.0
872.0,4886,17.683176422431437,Ethereum,2015-10-04T00:00:00Z,6624.0
871.0,5009,17.24895188660411,Ethereum,2015-10-05T00:00:00Z,6279.0
907.0,4806,17.97752808988764,Ethereum,2015-10-06T00:00:00Z,6458.0
881.0,5004,17.26618705035971,Ethereum,2015-10-07T00:00:00Z,7121.0
865.0,5152,16.770186335403725,Ethereum,2015-10-08T00:00:00Z,6926.0
868.0,4905,17.61467889908257,Ethereum,2015-10-09T00:00:00Z,6763.0
793.0,4896,17.647058823529413,Ethereum,2015-10-10T00:00:00Z,6529.0
840.0,5073,17.031342400946187,Ethereum,2015-10-11T00:00:00Z,6023.0
832.0,5148,16.783216783216783,Ethereum,2015-10-12T00:00:00Z,6593.0
846.0,5108,16.91464369616288,Ethereum,2015-10-13T00:00:00Z,6818.0
956.0,4934,17.51114714227807,Ethereum,2015-10-14T00:00:00Z,6830.0
876.0,4926,17.53958587088916,Ethereum,2015-10-15T00:00:00Z,6499.0
882.0,4883,17.694040548842924,Ethereum,2015-10-16T00:00:00Z,6795.0
867.0,5056,17.088607594936708,Ethereum,2015-10-17T00:00:00Z,6567.0
818.0,4945,17.472194135490394,Ethereum,2015-10-18T00:00:00Z,6481.0
842.0,4975,17.366834170854272,Ethereum,2015-10-19T00:00:00Z,6604.0
837.0,4990,17.314629258517034,Ethereum,2015-10-20T00:00:00Z,5897.0
873.0,4990,17.314629258517034,Ethereum,2015-10-21T00:00:00Z,6182.0
849.0,4835,17.869700103412615,Ethereum,2015-10-22T00:00:00Z,5979.0
957.0,5263,16.416492494774843,Ethereum,2015-10-23T00:00:00Z,6888.0
