CHAIN,AVG_TXS_COUNT,GMT_HOUR
Gnosis Chain,1589.032258064516,0
BNB Chain,101504.16129032258,0
Polygon,123507.0,0
Avalanche,5756.806451612903,0
Arbitrum,16291.354838709678,0
Fantom,24249.16129032258,0
Optimism,9971.516129032258,0
Ethereum,40363.0,0
Gnosis Chain,1655.0,1
BNB Chain,117630.67741935483,1
Ethereum,40134.58064516129,1
Fantom,21839.064516129034,1
Optimism,12750.516129032258,1
Arbitrum,16889.290322580644,1
Avalanche,5337.677419354839,1
Polygon,121795.32258064517,1
Gnosis Chain,1559.9354838709678,2
Arbitrum,18694.064516129034,2
Polygon,128709.41935483871,2
Ethereum,40632.8064516129,2
BNB Chain,131682.61290322582,2
Fantom,21876.16129032258,2
Optimism,17583.548387096773,2
Avalanche,4985.612903225807,2
Gnosis Chain,1744.1612903225807,3
Optimism,21149.90322580645,3
Polygon,126409.90322580645,3
Arbitrum,19961.354838709678,3
Ethereum,39145.096774193546,3
Fantom,21988.90322580645,3
Avalanche,4843.0,3
BNB Chain,135528.09677419355,3
Arbitrum,19649.16129032258,4
Optimism,18640.451612903227,4
Ethereum,37965.290322580644,4
Gnosis Chain,1645.1935483870968,4
Avalanche,4501.032258064516,4
Fantom,22831.58064516129,4
BNB Chain,135911.96774193548,4
Polygon,124872.3870967742,4
BNB Chain,135466.4193548387,5
Gnosis Chain,1467.9032258064517,5
Optimism,22085.967741935485,5
Fantom,21813.322580645163,5
Arbitrum,20581.1935483871,5
Polygon,123276.58064516129,5
Ethereum,35834.58064516129,5
Avalanche,4323.290322580645,5
Arbitrum,22883.548387096773,6
Optimism,25321.41935483871,6
Ethereum,38373.709677419356,6
Gnosis Chain,1441.0967741935483,6
Polygon,126942.41935483871,6
BNB Chain,140994.8064516129,6
Avalanche,4453.032258064516,6
Fantom,21261.16129032258,6
Arbitrum,25451.032258064515,7
BNB Chain,150204.51612903227,7
Polygon,134013.48387096773,7
Ethereum,40246.709677419356,7
Fantom,22617.483870967742,7
Avalanche,4933.903225806452,7
Gnosis Chain,1465.0645161290322,7
Optimism,27966.90322580645,7
Arbitrum,28010.83870967742,8
Optimism,30005.612903225807,8
Polygon,133613.48387096773,8
Gnosis Chain,1649.032258064516,8
Avalanche,5080.677419354839,8
Ethereum,42361.032258064515,8
BNB Chain,151649.5806451613,8
Fantom,22631.645161290322,8
Arbitrum,28504.709677419356,9
Polygon,132027.51612903227,9
Avalanche,5354.064516129032,9
BNB Chain,152630.1935483871,9
Optimism,29297.709677419356,9
Ethereum,43003.967741935485,9
Fantom,23087.451612903227,9
Gnosis Chain,1618.3870967741937,9
BNB Chain,150700.32258064515,10
Optimism,25499.58064516129,10
Gnosis Chain,1564.741935483871,10
Ethereum,42629.93548387097,10
Arbitrum,27671.8064516129,10
Avalanche,5235.870967741936,10
Polygon,132450.48387096773,10
Fantom,21282.74193548387,10
Arbitrum,28931.566666666666,11
Fantom,22718.633333333335,11
Polygon,131458.16666666666,11
Optimism,25559.366666666665,11
Gnosis Chain,1495.2666666666667,11
Avalanche,5628.7,11
Ethereum,42985.933333333334,11
BNB Chain,159791.23333333334,11
BNB Chain,172564.8,12
Optimism,25638.9,12
Polygon,136443.2,12
Fantom,23510.4,12
Avalanche,5844.666666666667,12
Arbitrum,29578.9,12
Ethereum,45785.433333333334,12
Gnosis Chain,1527.1666666666667,12
Gnosis Chain,1831.8,13
Avalanche,6749.266666666666,13
BNB Chain,172054.56666666668,13
Ethereum,46827.566666666666,13
Arbitrum,31479.5,13
Fantom,22931.266666666666,13
Optimism,24871.866666666665,13
Polygon,139396.13333333333,13
BNB Chain,170628.53333333333,14
Gnosis Chain,1900.5,14
Fantom,23122.966666666667,14
Optimism,22101.9,14
Ethereum,51979.166666666664,14
Arbitrum,31376.533333333333,14
Avalanche,6858.166666666667,14
Polygon,143463.93333333332,14
Arbitrum,29855.566666666666,15
Fantom,21754.166666666668,15
Polygon,139104.66666666666,15
Gnosis Chain,2113.8333333333335,15
Optimism,19249.9,15
Ethereum,50411.03333333333,15
BNB Chain,162442.8,15
Avalanche,6733.0,15
Arbitrum,28596.6,16
Fantom,20207.3,16
Avalanche,6630.966666666666,16
Ethereum,50710.76666666667,16
Gnosis Chain,4015.366666666667,16
Optimism,16061.633333333333,16
Polygon,135529.06666666668,16
BNB Chain,146746.06666666668,16
Fantom,20195.4,17
BNB Chain,122640.93333333333,17
Ethereum,48155.3,17
Optimism,14585.266666666666,17
Avalanche,6405.733333333334,17
Polygon,130581.56666666667,17
Arbitrum,26107.433333333334,17
Gnosis Chain,2095.9666666666667,17
BNB Chain,105454.53333333334,18
Gnosis Chain,1964.8666666666666,18
Polygon,121909.46666666666,18
Avalanche,5924.866666666667,18
Fantom,21388.866666666665,18
Ethereum,46989.5,18
Optimism,13358.933333333332,18
Arbitrum,24253.566666666666,18
Gnosis Chain,2080.9,19
Optimism,12008.0,19
Arbitrum,23003.5,19
Avalanche,6170.466666666666,19
Polygon,116436.8,19
Fantom,20565.033333333333,19
Ethereum,47494.433333333334,19
BNB Chain,95368.1,19
Avalanche,5866.4,20
Fantom,19546.7,20
Arbitrum,21056.0,20
Gnosis Chain,2004.7,20
BNB Chain,84723.96666666666,20
Ethereum,47204.13333333333,20
Optimism,11072.0,20
Polygon,111824.16666666667,20
Optimism,10332.766666666666,21
BNB Chain,79896.4,21
Gnosis Chain,1947.1333333333334,21
Fantom,21412.666666666668,21
Avalanche,5972.7,21
Polygon,106577.63333333333,21
Ethereum,44669.7,21
Arbitrum,19667.9,21
Fantom,21821.6,22
BNB Chain,76454.26666666666,22
Avalanche,5691.633333333333,22
Arbitrum,18122.266666666666,22
Polygon,106467.86666666667,22
Ethereum,42200.36666666667,22
Gnosis Chain,2335.866666666667,22
Optimism,9527.8,22
BNB Chain,77474.2,23
Avalanche,5345.333333333333,23
Gnosis Chain,1591.6,23
Arbitrum,16528.966666666667,23
Fantom,22065.666666666668,23
Ethereum,39597.666666666664,23
Optimism,8942.566666666668,23
Polygon,108788.16666666667,23
