Date(UTC),PRICE,TOKEN
2016-10-10,11.846375153910722,Ethereum (ETH)
2016-10-11,11.950214629710151,Ethereum (ETH)
2016-10-12,11.838548452887627,Ethereum (ETH)
2016-10-13,11.93211089328971,Ethereum (ETH)
2016-10-14,11.95634055589474,Ethereum (ETH)
2016-10-15,11.868802681322045,Ethereum (ETH)
2016-10-16,11.969167313758916,Ethereum (ETH)
2016-10-17,11.917185970566823,Ethereum (ETH)
2016-10-18,12.453974127220668,Ethereum (ETH)
2016-10-19,12.248042167362076,Ethereum (ETH)
2016-10-20,12.083099980285224,Ethereum (ETH)
2016-10-21,12.05633019506056,Ethereum (ETH)
2016-10-22,12.053752547080729,Ethereum (ETH)
2016-10-23,11.993246566892369,Ethereum (ETH)
2016-10-24,11.952851973756692,Ethereum (ETH)
2016-10-25,11.523375513739635,Ethereum (ETH)
2016-10-26,11.513167830792618,Ethereum (ETH)
2016-10-27,11.408363002778351,Ethereum (ETH)
2016-10-28,11.263314595430389,Ethereum (ETH)
2016-10-29,10.672026035141048,Ethereum (ETH)
2016-10-30,10.64637807538632,Ethereum (ETH)
2016-10-31,11.13603107057161,Ethereum (ETH)
2016-11-01,10.688566658841202,Ethereum (ETH)
2016-11-02,10.896235085011613,Ethereum (ETH)
2016-11-03,10.916823926570736,Ethereum (ETH)
2016-11-04,10.96946380523068,Ethereum (ETH)
2016-11-05,11.067415645010747,Ethereum (ETH)
2016-11-06,11.00019380276312,Ethereum (ETH)
2016-11-07,10.902671448873456,Ethereum (ETH)
2016-11-08,10.842198175294715,Ethereum (ETH)
2016-11-09,10.608409704010992,Ethereum (ETH)
2016-11-10,10.55653279699724,Ethereum (ETH)
2016-11-11,10.393790584043572,Ethereum (ETH)
2016-11-12,10.101768745318724,Ethereum (ETH)
2016-11-13,10.069863782373869,Ethereum (ETH)
2016-11-14,10.026480093485356,Ethereum (ETH)
2016-11-15,10.070414037563683,Ethereum (ETH)
2016-11-16,10.173233398138867,Ethereum (ETH)
2016-11-17,9.984842998054145,Ethereum (ETH)
2016-11-18,9.698424998216344,Ethereum (ETH)
2016-11-19,9.636881669313158,Ethereum (ETH)
2016-11-20,9.60252780113588,Ethereum (ETH)
2016-11-21,9.57390899271812,Ethereum (ETH)
2016-11-22,9.870839832274838,Ethereum (ETH)
2016-11-23,9.822654720100283,Ethereum (ETH)
2016-11-24,9.4937009332964,Ethereum (ETH)
2016-11-25,9.406797365598464,Ethereum (ETH)
2016-11-27,8.963003038425182,Ethereum (ETH)
2016-11-28,8.770464863426882,Ethereum (ETH)
2016-11-29,8.21130047998451,Ethereum (ETH)
2016-11-30,8.415100616684969,Ethereum (ETH)
2016-12-01,8.459342989991635,Ethereum (ETH)
2016-12-02,7.957483021197041,Ethereum (ETH)
2016-12-03,7.878479206267773,Ethereum (ETH)
2016-12-04,7.675004716815609,Ethereum (ETH)
2016-12-05,7.22646679386926,Ethereum (ETH)
2016-12-06,6.833551330107684,Ethereum (ETH)
2016-12-07,7.744491073971613,Ethereum (ETH)
2016-12-08,8.480740955196296,Ethereum (ETH)
2016-12-09,8.35290419708869,Ethereum (ETH)
2016-12-10,8.282714066991876,Ethereum (ETH)
2016-12-11,8.171546587126494,Ethereum (ETH)
2016-12-12,8.328762806327228,Ethereum (ETH)
2016-12-13,8.395526244965408,Ethereum (ETH)
2016-12-14,8.339994570364336,Ethereum (ETH)
2016-12-15,7.963999829747533,Ethereum (ETH)
2016-12-16,7.820283553687712,Ethereum (ETH)
2016-12-17,7.632846121706267,Ethereum (ETH)
2016-12-18,7.827108848729555,Ethereum (ETH)
2016-12-19,7.724245219352456,Ethereum (ETH)
2016-12-20,7.613151961727946,Ethereum (ETH)
2016-12-21,7.739114457381204,Ethereum (ETH)
2016-12-22,7.616818426889013,Ethereum (ETH)
2016-12-23,7.338042197389783,Ethereum (ETH)
2016-12-24,7.24846448194486,Ethereum (ETH)
2016-12-25,7.201348630733369,Ethereum (ETH)
2016-12-26,7.225302334245345,Ethereum (ETH)
2016-12-27,7.186799650383547,Ethereum (ETH)
2016-12-28,7.20213650980064,Ethereum (ETH)
2016-12-29,8.130291474063494,Ethereum (ETH)
2016-12-30,8.243779406103506,Ethereum (ETH)
2016-12-31,8.01600181141251,Ethereum (ETH)
2017-01-01,8.26314864504702,Ethereum (ETH)
2017-01-02,8.203514214215936,Ethereum (ETH)
2017-01-03,8.833757121178204,Ethereum (ETH)
2017-01-04,10.478099747430862,Ethereum (ETH)
2017-01-05,10.55294087449994,Ethereum (ETH)
2017-01-06,10.047259919565816,Ethereum (ETH)
2017-01-07,9.826201582236612,Ethereum (ETH)
2017-01-08,10.04757948703177,Ethereum (ETH)
2017-01-09,10.449068200648007,Ethereum (ETH)
2017-01-10,10.40568494761397,Ethereum (ETH)
2017-01-11,10.09008352734265,Ethereum (ETH)
2017-01-12,9.536828494296085,Ethereum (ETH)
2017-01-13,9.60413240770331,Ethereum (ETH)
2017-01-14,9.611194668947435,Ethereum (ETH)
2017-01-15,9.741795043858389,Ethereum (ETH)
2017-01-16,9.616585748244765,Ethereum (ETH)
2017-01-17,10.009570159289124,Ethereum (ETH)
2017-01-18,10.210289304799632,Ethereum (ETH)
2017-01-19,10.276789544767668,Ethereum (ETH)
2017-01-20,10.545683595279336,Ethereum (ETH)
2017-01-21,10.74655935271285,Ethereum (ETH)
2017-01-22,10.792768344509028,Ethereum (ETH)
2017-01-23,10.69946090442289,Ethereum (ETH)
2017-01-24,10.60217912841726,Ethereum (ETH)
2017-01-25,10.47471814907291,Ethereum (ETH)
2017-01-26,10.50366533889616,Ethereum (ETH)
2017-01-27,10.473719091744767,Ethereum (ETH)
2017-01-28,10.501304685436732,Ethereum (ETH)
2017-01-29,10.466625206864796,Ethereum (ETH)
2017-01-30,10.481138373567298,Ethereum (ETH)
2017-01-31,10.583188925373689,Ethereum (ETH)
